OID_,id,status,lon,lat,z,requestDate,installDate,roofAccess,notes,name,neighborhood,boroughCode,borough,neighborhoodCode
106,740,Installed,-73.921752100000006,40.692086799999998,28,1513176180625.000000000000000,1534392000000.000000000000000,true,,,Bushwick,4,Brooklyn,157
107,753,Interested,-74.000213000000002,40.641442800000000,49,1513277746963.000000000000000,,false,,,Borough Park,3,Brooklyn,210
108,774,Installed,-73.934413000000006,40.708340000000000,13,1513289396549.000000000000000,1558756800000.000000000000000,true,DIY,,Williamsburg,4,Brooklyn,145
109,779,Installed,-73.966994200000016,40.676175299999997,47,1513291985878.000000000000000,1646110800000.000000000000000,true,Omni,,Prospect Heights,3,Brooklyn,175
110,789,Installed,-73.995928199999994,40.721965999999988,24,1513296765430.000000000000000,1514437200000.000000000000000,true,,,Nolita,1,Manhattan,130
111,794,Installed,-73.978205099999997,40.713167599999998,69,1513302913919.000000000000000,1527048000000.000000000000000,false,,,Lower East Side,1,Manhattan,137
112,806,Interested,-73.952582499999991,40.803213100000001,27,1513308045034.000000000000000,,true,,,Harlem,1,Manhattan,71
113,844,Installed,-73.955786000000003,40.722757999999999,18,1513355291475.000000000000000,1521000000000.000000000000000,true,hub kiosk sector,,Williamsburg,4,Brooklyn,145
114,873,Installed,-73.963109000000003,40.675395999999999,53,1513374517279.000000000000000,1519880400000.000000000000000,false,kiosk,,Crown Heights,3,Brooklyn,180
115,944,Installed,-73.954802000000001,40.680269000000003,39,1513622781352.000000000000000,1518757200000.000000000000000,true,hub Omni (kiosk backup),Flo,Bedford-Stuyvesant,3,Brooklyn,169
116,994,Installed,-73.994532000000007,40.711488000000003,36,1513826982428.000000000000000,1530417600000.000000000000000,false,,,Two Bridges,1,Manhattan,146
117,1008,Installed,-73.924595900000000,40.688952000000000,24,1513885170592.000000000000000,1554523200000.000000000000000,true,,,Bedford-Stuyvesant,3,Brooklyn,169
118,1013,Interested,-73.953856999999999,40.681542999999998,35,1513906163660.000000000000000,,false,,,Bedford-Stuyvesant,3,Brooklyn,169
119,1049,Installed,-73.958732499999996,40.719557299999998,21,1514074915720.000000000000000,1514869200000.000000000000000,true,kiosk,,Williamsburg,4,Brooklyn,145
120,1084,Installed,-73.945976999999999,40.729613999999998,16,1514150599953.000000000000000,1572667200000.000000000000000,true,hub Omni,Parallel,Greenpoint,3,Brooklyn,123
121,1085,Installed,-73.913546999999994,40.699679000000003,29,1514405397907.000000000000000,1546059600000.000000000000000,true,,,Bushwick,4,Brooklyn,157
122,1126,Installed,-73.870059999999995,40.863439999999997,52,1514553593100.000000000000000,1518498000000.000000000000000,true,"Bronx Hub, sector",,Allerton,2,Bronx,28
123,1146,Installed,-73.955055000000002,40.679572000000000,37,1514742515947.000000000000000,1616299200000.000000000000000,true,Omni,,Bedford-Stuyvesant,3,Brooklyn,169
124,1150,Installed,-73.913133000000002,40.690503999999997,22,1514815744617.000000000000000,1535169600000.000000000000000,true,,,Bushwick,4,Brooklyn,157
125,1158,Installed,-73.979443000000003,40.724020000000003,20,1514995975639.000000000000000,1515992400000.000000000000000,true,,,East Village,1,Manhattan,127
126,1159,Installed,-73.947817000000001,40.682521000000001,30,1514929915604.000000000000000,1648353600000.000000000000000,true,Omni,,Bedford-Stuyvesant,3,Brooklyn,169
127,1163,Installed,-73.987441000000004,40.730727999999999,30,1514953249998.000000000000000,1522468800000.000000000000000,true,Omni,,East Village,1,Manhattan,127
128,1167,Installed,-73.946151000000000,40.727544999999999,18,1515005198047.000000000000000,1515992400000.000000000000000,true,hub Omni,Mohammad,Greenpoint,3,Brooklyn,123
129,1189,Installed,-73.932598249999998,40.707935010000000,16,1515168442781.000000000000000,1521345600000.000000000000000,true,,,Williamsburg,4,Brooklyn,145
130,1226,Installed,-73.991317400000000,40.713452799999999,26,1515628240094.000000000000000,1519621200000.000000000000000,true,,,Chinatown,1,Manhattan,138
131,1237,Installed,-73.967626899999999,40.799292000000001,50,1515717260592.000000000000000,1515733200000.000000000000000,true,kiosk,,Upper West Side,1,Manhattan,83
132,1258,Installed,-73.987678000000002,40.725140000000003,15,1515868010256.000000000000000,1520053200000.000000000000000,false,,,East Village,1,Manhattan,127
133,1267,Installed,-73.954049999999995,40.722814000000000,74,1516061770837.000000000000000,1522123200000.000000000000000,true,"kiosk, The Lot Radio",Lot Radio,Williamsburg,4,Brooklyn,145
134,1275,Installed,-73.994532000000007,40.711488000000003,36,1516219895150.000000000000000,1517374800000.000000000000000,false,,,Two Bridges,1,Manhattan,146
135,1327,Installed,-73.997536099999991,40.717609299999999,35,1516676719053.000000000000000,1518325200000.000000000000000,true,,,Little Italy,1,Manhattan,134
136,1329,Installed,-73.994988499999991,40.711749699999999,50,1516712517049.000000000000000,1616817600000.000000000000000,true,lbe only ?,,Two Bridges,1,Manhattan,146
137,1340,Installed,-73.917493300000004,40.686015599999998,64,1516770520860.000000000000000,1526616000000.000000000000000,true,hub,Saratoga,Bedford-Stuyvesant,3,Brooklyn,169
138,1350,Installed,-73.947451580000006,40.687509620000000,31,1516905439650.000000000000000,1535428800000.000000000000000,true,hub Omni,Ehud,Bedford-Stuyvesant,3,Brooklyn,169
139,1384,Installed,-73.978904200000002,40.713894900000000,53,1517413703138.000000000000000,1519794000000.000000000000000,false,hub Omni,,Lower East Side,1,Manhattan,137
140,1386,Installed,-73.984538000000001,40.725931500000002,21,1517440381786.000000000000000,1522900800000.000000000000000,true,SXT,,East Village,1,Manhattan,127
141,1397,Installed,-73.979257199999992,40.725576500000003,24,1517582348215.000000000000000,1564372800000.000000000000000,true,,,East Village,1,Manhattan,127
142,1401,Installed,-73.991317400000000,40.713452799999999,26,1517693707593.000000000000000,1519534800000.000000000000000,true,,,Chinatown,1,Manhattan,138
143,1417,Installed,-73.935488399999997,40.713617200000002,14,1518040495957.000000000000000,1520913600000.000000000000000,true,hub sectors,Soft Surplus,Williamsburg,4,Brooklyn,145
144,1430,Installed,-73.987054999999998,40.721198999999999,28,1518359374844.000000000000000,1541566800000.000000000000000,false,Omni,,Lower East Side,1,Manhattan,137
145,1440,Installed,-73.995513899999992,40.712028900000000,24,1518529592281.000000000000000,1518584400000.000000000000000,true,Hub Omni,,Two Bridges,1,Manhattan,146
146,1447,Installed,-73.997281399999991,40.659747000000003,36,1518711780410.000000000000000,1597550400000.000000000000000,true,Omni,,Sunset Park,3,Brooklyn,193
147,1471,Installed,-73.960933000000011,40.763499000000003,25,1519285747191.000000000000000,1532059200000.000000000000000,false,kiosk,,Upper East Side,1,Manhattan,90
