OID_,from_,to,status,installDate,X1,Y1,Z1,X2,Y2,Z2,position,COUNT
136,4402,4530,active,1571457600000.000000000000000,-73.956851999999998,40.655596000000003,40.000000000000000,-73.955153500000009,40.655781999999988,40.000000000000000,START,1
137,4506,4507,active,1571457600000.000000000000000,-73.958254999999994,40.656001000000003,32.000000000000000,-73.959160999999995,40.655510999999997,35.000000000000000,START,1
138,4506,4402,active,1571457600000.000000000000000,-73.958254999999994,40.656001000000003,32.000000000000000,-73.956851999999998,40.655596000000003,40.000000000000000,START,1
139,4514,3108,active,1571457600000.000000000000000,-73.957950999999994,40.655607000000003,27.000000000000000,-73.958074999999994,40.655636999999999,26.000000000000000,START,1
140,4513,3572,active,1571457600000.000000000000000,-73.957522999999995,40.656047000000001,28.000000000000000,-73.957522999999995,40.656047000000001,27.000000000000000,START,1
141,4402,4466,active,1571457600000.000000000000000,-73.956851999999998,40.655596000000003,40.000000000000000,-73.956851999999998,40.655596000000003,40.000000000000000,START,1
142,4402,4393,active,1571457600000.000000000000000,-73.956851999999998,40.655596000000003,40.000000000000000,-73.957872899999998,40.656008800000002,29.000000000000000,START,2
143,4402,3572,active,1571457600000.000000000000000,-73.956851999999998,40.655596000000003,40.000000000000000,-73.957522999999995,40.656047000000001,27.000000000000000,START,2
144,4506,4625,active,1571457600000.000000000000000,-73.958254999999994,40.656001000000003,32.000000000000000,-73.958254999999994,40.656001000000003,32.000000000000000,START,3
145,4506,4607,active,1571457600000.000000000000000,-73.958254999999994,40.656001000000003,32.000000000000000,-73.958095000000000,40.656058199999997,32.000000000000000,START,2
146,4393,4515,active,1571457600000.000000000000000,-73.957872899999998,40.656008800000002,29.000000000000000,-73.957879000000005,40.656025000000000,29.000000000000000,START,1
147,4402,3108,active,1571457600000.000000000000000,-73.956851999999998,40.655596000000003,40.000000000000000,-73.958074999999994,40.655636999999999,26.000000000000000,START,3
148,3108,4507,active,1571457600000.000000000000000,-73.958074999999994,40.655636999999999,26.000000000000000,-73.959160999999995,40.655510999999997,35.000000000000000,START,2
149,4530,3572,active,1571457600000.000000000000000,-73.955153500000009,40.655781999999988,40.000000000000000,-73.957522999999995,40.656047000000001,27.000000000000000,START,2
150,3716,2463,active,1571630400000.000000000000000,-73.954624999999993,40.730400000000003,24.500000000000000,-73.988092999999992,40.719777999999998,72.000000000000000,START,1
151,4504,227,active,1571716800000.000000000000000,-73.997776000000002,40.721007999999998,37.000000000000000,-74.001271880000004,40.711104300000002,180.000000000000000,START,2
152,4517,3461,active,1572148800000.000000000000000,-73.946831399999994,40.667165199999999,44.000000000000000,-73.964439999999996,40.672699000000001,99.000000000000000,START,1
153,2723,3461,active,1572667200000.000000000000000,-73.951895999999991,40.673268000000000,42.000000000000000,-73.964439999999996,40.672699000000001,99.000000000000000,START,1
154,4334,227,active,1572753600000.000000000000000,-73.995487099999991,40.712421999999997,27.000000000000000,-74.001271880000004,40.711104300000002,180.000000000000000,START,1
155,4673,2274,active,1572930000000.000000000000000,-73.982291000000004,40.728228000000001,24.000000000000000,-73.983418000000000,40.725749999999998,34.000000000000000,START,1
156,4544,1340,active,1573102800000.000000000000000,-73.908096000000000,40.690963000000004,28.000000000000000,-73.917493300000004,40.686015599999998,64.000000000000000,START,4
157,4285,1340,active,1573102800000.000000000000000,-73.933536599999996,40.681232399999999,30.000000000000000,-73.917493300000004,40.686015599999998,64.000000000000000,START,1
158,4585,227,active,1573102800000.000000000000000,-73.992734999999996,40.725233000000003,28.000000000000000,-74.001271880000004,40.711104300000002,180.000000000000000,START,3
159,3301,3461,active,1573189200000.000000000000000,-73.952766699999998,40.672888299999997,45.000000000000000,-73.964439999999996,40.672699000000001,99.000000000000000,START,4
160,3004,1971,active,1573362000000.000000000000000,-73.992108900000005,40.713335600000001,33.000000000000000,-73.994821999999999,40.712772999999999,55.000000000000000,START,1
161,4439,3461,active,1573707600000.000000000000000,-73.954442799999995,40.655791999999998,35.000000000000000,-73.964439999999996,40.672699000000001,99.000000000000000,START,1
162,4439,4530,active,1573707600000.000000000000000,-73.954442799999995,40.655791999999998,35.000000000000000,-73.955153500000009,40.655781999999988,40.000000000000000,START,1
163,1158,2463,active,1573707600000.000000000000000,-73.979443000000003,40.724020000000003,20.000000000000000,-73.988092999999992,40.719777999999998,72.000000000000000,START,5
164,3682,3461,active,1573880400000.000000000000000,-73.956876600000001,40.688174900000000,34.000000000000000,-73.964439999999996,40.672699000000001,99.000000000000000,START,1
165,3424,3461,active,1574226000000.000000000000000,-73.960974800000017,40.675764999999998,60.000000000000000,-73.964439999999996,40.672699000000001,99.000000000000000,START,3
166,115,1084,active,1574312400000.000000000000000,-73.950671000000000,40.734025000000003,14.000000000000000,-73.945976999999999,40.729613999999998,16.000000000000000,START,3
167,4535,1340,active,1574485200000.000000000000000,-73.917772799999995,40.678095200000001,35.000000000000000,-73.917493300000004,40.686015599999998,64.000000000000000,START,2
168,4187,8054,active,1574571600000.000000000000000,-73.944385999999994,40.683722000000003,30.000000000000000,-73.942388499999993,40.685129199999999,29.000000000000000,START,1
169,8054,4395,active,1574571600000.000000000000000,-73.942388499999993,40.685129199999999,29.000000000000000,-73.941899999999990,40.686238000000003,31.000000000000000,START,1
170,48,3461,active,1574571600000.000000000000000,-73.976359000000002,40.667571000000002,60.000000000000000,-73.964439999999996,40.672699000000001,99.000000000000000,START,1
171,4768,1340,active,1574658000000.000000000000000,-73.931091100000003,40.685298299999999,20.000000000000000,-73.917493300000004,40.686015599999998,64.000000000000000,START,2
172,2223,1167,active,1574744400000.000000000000000,-73.949352777777705,40.728069400000003,17.000000000000000,-73.946151000000000,40.727544999999999,18.000000000000000,START,1
173,4619,3578,active,1574744400000.000000000000000,-73.981446599999998,40.729303700000003,23.000000000000000,-73.981446599999998,40.729303700000003,25.000000000000000,START,1
174,1417,529,active,1574830800000.000000000000000,-73.935488399999997,40.713617200000002,14.000000000000000,-73.922893000000002,40.704448999999997,23.000000000000000,START,1
175,4712,3300,active,1574830800000.000000000000000,-73.996719900000002,40.660822300000000,28.000000000000000,-73.995498299999994,40.660963600000002,33.000000000000000,START,1
176,4574,3305,active,1575090000000.000000000000000,-73.949878900000002,40.686866400000000,26.000000000000000,-73.949598199999997,40.686888900000000,24.000000000000000,START,1
177,4706,1340,active,1575090000000.000000000000000,-73.931465000000003,40.692771700000002,30.000000000000000,-73.917493300000004,40.686015599999998,64.000000000000000,START,1
178,1084,1167,active,1575262800000.000000000000000,-73.945976999999999,40.729613999999998,16.000000000000000,-73.946151000000000,40.727544999999999,18.000000000000000,START,1
179,1084,2223,active,1575262800000.000000000000000,-73.945976999999999,40.729613999999998,16.000000000000000,-73.949352777777705,40.728069400000003,17.000000000000000,START,1
180,4037,3662,active,1575694800000.000000000000000,-73.927612199999999,40.683054700000000,30.000000000000000,-73.927942000000002,40.685696999999998,25.000000000000000,START,1
181,4869,1350,active,1575694800000.000000000000000,-73.949143699999993,40.686955099999999,32.000000000000000,-73.947451580000006,40.687509620000000,31.000000000000000,START,1
182,4869,3305,active,1575694800000.000000000000000,-73.949143699999993,40.686955099999999,32.000000000000000,-73.949598199999997,40.686888900000000,24.000000000000000,START,1
183,4869,3575,active,1575694800000.000000000000000,-73.949143699999993,40.686955099999999,32.000000000000000,-73.945752299999995,40.687336700000003,28.000000000000000,START,1
