source,target,status,installDate,fromXYZ,toXYZ,X1,Y1,Z1,X2,Y2,Z2,ORIG_FID,Shape_Length,bearingDegrees,lengthMetersGeodesic,link_ID
9322,227,active,1625025600000,"-73.9954246,40.7120626,28","-74.00127188,40.7111043,180",-73.9954246,40.7120626,28,-74.00127188,40.7111043,180,575,0.005925286684,260.6926409,505.4302539,566
9450,227,active,1628913600000,"-73.9963428,40.7120383,28","-74.00127188,40.7111043,180",-73.9963428,40.7120383,28,-74.00127188,40.7111043,180,594,0.005016790373,259.2703659,429.2313806,585
9977,227,active,1630814400000,"-73.9986887,40.7158516,32","-74.00127188,40.7111043,180",-73.9986887,40.7158516,32,-74.00127188,40.7111043,180,624,0.005404597691,208.5522327,570.5809016,615
10139,227,active,1631937600000,"-73.9942743,40.7125483,27","-74.00127188,40.7111043,180",-73.9942743,40.7125483,27,-74.00127188,40.7111043,180,636,0.007145016575,258.340276,612.6567957,627
7232,227,active,1638162000000,"-74.0018103,40.7190291,34","-74.00127188,40.7111043,180",-74.0018103,40.7190291,34,-74.00127188,40.7111043,180,730,0.007943069378,176.1132321,881.2115607,721
12223,227,active,1655092800000,"-73.9897852,40.7160348,34","-74.00127188,40.7111043,180",-73.9897852,40.7160348,34,-74.00127188,40.7111043,180,903,0.01250014591,246.7692342,1114.386698,894
12532,227,active,1660536000000,"-73.9951983,40.7134583,30","-74.00127188,40.7111043,180",-73.9951983,40.7134583,30,-74.00127188,40.7111043,180,921,0.006513807643,248.8146501,575.9567335,912
12117,227,vpn,1663041600000,"-73.951904,40.819047,65","-74.00127188,40.7111043,180",-73.951904,40.819047,65,-74.00127188,40.7111043,180,937,0.1186963186,204.5771131,12691.02172,928
12719,227,active,1663732800000,"-73.997875,40.713250599999988,22","-74.00127188,40.7111043,180",-73.997875,40.7132506,22,-74.00127188,40.7111043,180,947,0.004018133575,237.7134798,373.091833,938
11266,227,active,1664596800000,"-73.9904181,40.7142089,31","-74.00127188,40.7111043,180",-73.9904181,40.7142089,31,-74.00127188,40.7111043,180,951,0.01128906911,254.0374263,979.7979707,942
5671,248,active,1615611600000,"-73.9986888,40.712526,26","-73.998085,40.712137,23",-73.9986888,40.712526,26,-73.998085,40.712137,23,485,0.0007182586164,122.791783,66.85206372,477
518,248,active,1623470400000,"-73.999212,40.713959,26","-73.998085,40.712137,23",-73.999212,40.713959,26,-73.998085,40.712137,23,549,0.002142384886,148.2610937,223.6208964,540
1946,303,active,1542517200000,"-73.924993,40.698238,13","-73.925104,40.698524,23.5",-73.924993,40.698238,13,-73.925104,40.698524,23.5,3,0.000306784941,338.7881752,33.11636145,3
5854,303,active,1588305600000,"-73.924731999999992,40.6985602,27","-73.925104,40.698524,23.5",-73.924732,40.6985602,27,-73.925104,40.698524,23.5,256,0.0003737571939,264.4419431,31.69640501,249
6248,303,active,1638334800000,"-73.925557,40.6987061,22","-73.925104,40.698524,23.5",-73.925557,40.6987061,22,-73.925104,40.698524,23.5,734,0.0004882308982,111.8994738,43.29856378,725
1606,329,active,1542690000000,"-73.9464296,40.717801,15","-73.94197707,40.71748272,26.5",-73.9464296,40.717801,15,-73.94197707,40.71748272,26.5,4,0.004463891302,94.08871688,377.8651846,4
4043,329,active,1593576000000,"-73.9439957,40.7165279,24","-73.94197707,40.71748272,26.5",-73.9439957,40.7165279,24,-73.94197707,40.71748272,26.5,276,0.002233058062,64.68566498,200.8334552,269
6715,329,active,1597464000000,"-73.943949800000013,40.7158263,26","-73.94197707,40.71748272,26.5",-73.9439498,40.7158263,26,-73.94197707,40.71748272,26.5,301,0.002575925245,49.98120628,248.231296,294
7674,329,active,1609995600000,"-73.944009,40.717585,14","-73.94197707,40.71748272,26.5",-73.944009,40.717585,14,-73.94197707,40.71748272,26.5,408,0.002034502574,92.88162998,172.0598523,400
5089,368,active,1618545600000,"-73.9730046,40.634201999999988,34","-73.967036,40.634763,29",-73.9730046,40.634202,34,-73.967036,40.634763,29,508,0.005994906752,84.63043669,508.7616812,499
465,407,active,1551762000000,"-73.987972,40.713663,25","-73.9903657,40.7132593,40",-73.987972,40.713663,25,-73.9903657,40.7132593,40,15,0.002427503528,260.42709,207.1726132,15
1384,407,active,1566273600000,"-73.9789042,40.7138949,53","-73.9903657,40.7132593,40",-73.9789042,40.7138949,53,-73.9903657,40.7132593,40,90,0.01147911014,266.825901,971.0463921,88
1933,407,active,1579669200000,"-73.9844262,40.7155733,93","-73.9903657,40.7132593,40",-73.9844262,40.7155733,93,-73.9903657,40.7132593,40,210,0.006374343594,248.7143563,563.8321026,204
6274,407,active,1595736000000,"-73.9931228,40.7146783,32","-73.9903657,40.7132593,40",-73.9931228,40.7146783,32,-73.9903657,40.7132593,40,289,0.003100832374,117.2335763,281.2566152,282
1971,407,active,1597636800000,"-73.994822,40.712773,55","-73.9903657,40.7132593,40",-73.994822,40.712773,55,-73.9903657,40.7132593,40,303,0.004482755557,83.77216108,380.405797,296
6978,407,active,1601092800000,"-73.9919014,40.7137723,32","-73.9903657,40.7132593,40",-73.9919014,40.7137723,32,-73.9903657,40.7132593,40,325,0.001619118121,108.471877,141.7183371,317
5639,407,active,1609045200000,"-73.9898712,40.7130642,23","-73.9903657,40.7132593,40",-73.9898712,40.7130642,23,-73.9903657,40.7132593,40,402,0.0005315959556,291.5312145,47.06756766,394
9238,407,active,1623729600000,"-73.9914792,40.7179131,44","-73.9903657,40.7132593,40",-73.9914792,40.7179131,44,-73.9903657,40.7132593,40,560,0.004785157959,166.5439927,525.2917709,551
10063,407,active,1636779600000,"-73.992025,40.7140892,29","-73.9903657,40.7132593,40",-73.992025,40.7140892,29,-73.9903657,40.7132593,40,705,0.001855265614,116.5719568,167.7842239,696
1430,507,active,1646888400000,"-73.987055,40.721199,28","-73.986421,40.718849,34",-73.987055,40.721199,28,-73.986421,40.718849,34,839,0.002434020542,164.9017878,266.4049487,830
12719,518,active,1663128000000,"-73.997875,40.713250599999988,22","-73.999212,40.713959,26",-73.997875,40.7132506,22,-73.999212,40.713959,26,942,0.001513076191,297.9165635,137.664898,933
1417,529,active,1574830800000,"-73.9354884,40.7136172,14","-73.922893,40.704449,23",-73.9354884,40.7136172,14,-73.922893,40.704449,23,174,0.01557883157,126.0508979,1472.895822,168
2603,659,active,1562990400000,"-73.9904178,40.71428,26","-73.9898209,40.7158174,26",-73.9904178,40.71428,26,-73.9898209,40.7158174,26,63,0.001649208407,21.21884591,178.0199137,63
3864,659,active,1566014400000,"-73.990065,40.71532,28","-73.9898209,40.7158174,26",-73.990065,40.71532,28,-73.9898209,40.7158174,26,86,0.0005540681997,26.13958384,58.9607226,86
3863,659,active,1567915200000,"-73.9894688,40.7138682,57","-73.9898209,40.7158174,26",-73.9894688,40.7138682,57,-73.9898209,40.7158174,26,98,0.001980746084,349.760611,218.4905983,96
11650,659,active,1649908800000,"-73.9902378,40.7160986,28","-73.9898209,40.7158174,26",-73.9902378,40.7160986,28,-73.9898209,40.7158174,26,875,0.0005028708085,123.9997543,47.07433007,866
3110,664,active,1563854400000,"-73.914673999999991,40.705605,32","-73.91519213,40.70569317,34",-73.914674,40.705605,32,-73.91519213,40.70569317,34,70,0.0005255783917,279.6574922,44.86767133,70
3744,664,active,1565496000000,"-73.9167552,40.7052886,25","-73.91519213,40.70569317,34",-73.9167552,40.7052886,25,-73.91519213,40.70569317,34,85,0.001614578803,75.4885727,139.5239227,85
7600,664,active,1607662800000,"-73.9163523,40.7041015,27","-73.91519213,40.70569317,34",-73.9163523,40.7041015,27,-73.91519213,40.70569317,34,388,0.001969621237,36.08834832,202.1241247,380
7503,664,active,1608354000000,"-73.9145152,40.7039919,31","-73.91519213,40.70569317,34",-73.9145152,40.7039919,31,-73.91519213,40.70569317,34,391,0.001830998044,338.3025457,197.3943453,383
10043,664,active,1630296000000,"-73.9155739,40.7059209,32","-73.91519213,40.70569317,34",-73.9155739,40.7059209,32,-73.91519213,40.70569317,34,613,0.00044453266,120.8165408,40.99286381,604
10622,664,active,1635566400000,"-73.9132367,40.7040469,32","-73.91519213,40.70569317,34",-73.9132367,40.7040469,32,-73.91519213,40.70569317,34,696,0.002556151677,310.093914,246.4339872,687
3606,664,active,1638075600000,"-73.9218844,40.7084572,28","-73.91519213,40.70569317,34",-73.9218844,40.7084572,28,-73.91519213,40.70569317,34,726,0.007240603538,112.4415212,643.4663392,717
11637,664,active,1646542800000,"-73.910311,40.702249,34","-73.91519213,40.70569317,34",-73.910311,40.702249,34,-73.91519213,40.70569317,34,833,0.005973921414,305.2071441,562.5337144,824
10978,672,active,1637989200000,"-73.9049407,40.7028949,41","-73.904269,40.702476,33",-73.9049407,40.7028949,41,-73.904269,40.702476,33,724,0.000791617395,121.9493771,73.39209437,715
10063,686,active,1636779600000,"-73.992025,40.7140892,29","-73.9913174,40.7134528,26",-73.992025,40.7140892,29,-73.9913174,40.7134528,26,706,0.0009516841493,131.9675226,92.57085591,697
